kernel,distribution,size,variant,median_ns
k50_count_masked,half_match,128,absac,1.8
k50_count_masked,half_match,128,witness_avx2,1.8
k50_count_masked,half_match,256,orig_O3,16.3
k50_count_masked,half_match,256,absac,2.2
k50_count_masked,half_match,256,witness_avx2,3.2
k50_count_masked,half_match,512,orig_O3,32.1
k50_count_masked,half_match,512,absac,4.0
k50_count_masked,half_match,512,witness_avx2,6.3
k50_count_masked,half_match,1024,orig_O3,67.3
k50_count_masked,half_match,1024,absac,7.9
k50_count_masked,half_match,1024,witness_avx2,12.8
k50_count_masked,half_match,2048,orig_O3,130.7
k50_count_masked,half_match,2048,absac,15.2
k50_count_masked,half_match,2048,witness_avx2,31.4
k50_count_masked,half_match,4096,orig_O3,258.0
k50_count_masked,half_match,4096,absac,30.0
k50_count_masked,half_match,4096,witness_avx2,57.7
k50_count_masked,half_match,8192,orig_O3,506.6
k50_count_masked,half_match,8192,absac,59.6
k50_count_masked,half_match,8192,witness_avx2,109.7
k50_count_masked,half_match,16384,orig_O3,1012.3
k50_count_masked,half_match,16384,absac,121.1
k50_count_masked,half_match,16384,witness_avx2,215.4
k50_count_masked,half_match,65536,orig_O3,4074.8
k50_count_masked,half_match,65536,absac,548.9
k50_count_masked,half_match,65536,witness_avx2,842.9
