kernel,plan_id,isa,reduction,unroll,tail,control,size,distribution,correct,median_ns,speedup_vs_orig
k18_all_equal,6,SSE2,MovemaskPopcount,U2,Scalar,EarlyExit,4096,random,1,1.5,0.007
k18_all_equal,6,SSE2,MovemaskPopcount,U2,Scalar,EarlyExit,65536,random,1,1.5,0.000
k18_all_equal,6,SSE2,MovemaskPopcount,U2,Scalar,EarlyExit,64,all_equal,1,1.6,0.610
k18_all_equal,6,SSE2,MovemaskPopcount,U2,Scalar,EarlyExit,256,all_equal,1,2.4,0.183
k18_all_equal,6,SSE2,MovemaskPopcount,U2,Scalar,EarlyExit,4096,all_equal,1,49.0,0.235
k18_all_equal,6,SSE2,MovemaskPopcount,U2,Scalar,EarlyExit,65536,all_equal,1,738.9,0.222
k18_all_equal,7,SSE2,MovemaskPopcount,U4,Scalar,FullReduction,64,random,1,1.4,0.513
k18_all_equal,7,SSE2,MovemaskPopcount,U4,Scalar,FullReduction,256,random,1,1.5,0.112
k18_all_equal,7,SSE2,MovemaskPopcount,U4,Scalar,FullReduction,4096,random,1,1.5,0.007
k18_all_equal,7,SSE2,MovemaskPopcount,U4,Scalar,FullReduction,65536,random,1,1.5,0.000
k18_all_equal,7,SSE2,MovemaskPopcount,U4,Scalar,FullReduction,64,all_equal,1,1.4,0.509
k18_all_equal,7,SSE2,MovemaskPopcount,U4,Scalar,FullReduction,256,all_equal,1,3.1,0.230
k18_all_equal,7,SSE2,MovemaskPopcount,U4,Scalar,FullReduction,4096,all_equal,1,49.8,0.237
k18_all_equal,7,SSE2,MovemaskPopcount,U4,Scalar,FullReduction,65536,all_equal,1,813.0,0.245
k18_all_equal,8,SSE2,MovemaskPopcount,U4,Scalar,EarlyExit,64,random,1,1.5,0.575
k18_all_equal,8,SSE2,MovemaskPopcount,U4,Scalar,EarlyExit,256,random,1,1.5,0.111
k18_all_equal,8,SSE2,MovemaskPopcount,U4,Scalar,EarlyExit,4096,random,1,1.5,0.007
k18_all_equal,8,SSE2,MovemaskPopcount,U4,Scalar,EarlyExit,65536,random,1,1.5,0.000
k18_all_equal,8,SSE2,MovemaskPopcount,U4,Scalar,EarlyExit,64,all_equal,1,1.4,0.556
k18_all_equal,8,SSE2,MovemaskPopcount,U4,Scalar,EarlyExit,256,all_equal,1,2.4,0.183
k18_all_equal,8,SSE2,MovemaskPopcount,U4,Scalar,EarlyExit,4096,all_equal,1,40.0,0.192
k18_all_equal,8,SSE2,MovemaskPopcount,U4,Scalar,EarlyExit,65536,all_equal,1,661.7,0.199
k18_all_equal,9,AVX2,LaneAccumulation,U1,Scalar,FullReduction,64,random,1,1.5,0.567
k18_all_equal,9,AVX2,LaneAccumulation,U1,Scalar,FullReduction,256,random,1,1.4,0.109
k18_all_equal,9,AVX2,LaneAccumulation,U1,Scalar,FullReduction,4096,random,1,1.5,0.007
k18_all_equal,9,AVX2,LaneAccumulation,U1,Scalar,FullReduction,65536,random,1,1.5,0.000
k18_all_equal,9,AVX2,LaneAccumulation,U1,Scalar,FullReduction,64,all_equal,1,1.6,0.617
k18_all_equal,9,AVX2,LaneAccumulation,U1,Scalar,FullReduction,256,all_equal,1,1.8,0.135
k18_all_equal,9,AVX2,LaneAccumulation,U1,Scalar,FullReduction,4096,all_equal,1,27.6,0.133
k18_all_equal,9,AVX2,LaneAccumulation,U1,Scalar,FullReduction,65536,all_equal,1,551.9,0.166
k18_all_equal,10,AVX2,LaneAccumulation,U1,Scalar,EarlyExit,64,random,1,1.5,0.568
k18_all_equal,10,AVX2,LaneAccumulation,U1,Scalar,EarlyExit,256,random,1,1.5,0.110
k18_all_equal,10,AVX2,LaneAccumulation,U1,Scalar,EarlyExit,4096,random,1,1.5,0.007
k18_all_equal,10,AVX2,LaneAccumulation,U1,Scalar,EarlyExit,65536,random,1,1.5,0.000
k18_all_equal,10,AVX2,LaneAccumulation,U1,Scalar,EarlyExit,64,all_equal,1,1.6,0.614
k18_all_equal,10,AVX2,LaneAccumulation,U1,Scalar,EarlyExit,256,all_equal,1,1.8,0.135
k18_all_equal,10,AVX2,LaneAccumulation,U1,Scalar,EarlyExit,4096,all_equal,1,27.9,0.133
k18_all_equal,10,AVX2,LaneAccumulation,U1,Scalar,EarlyExit,65536,all_equal,1,553.5,0.167
k18_all_equal,11,AVX2,LaneAccumulation,U1,NarrowerVector,FullReduction,64,random,1,1.4,0.531
k18_all_equal,11,AVX2,LaneAccumulation,U1,NarrowerVector,FullReduction,256,random,1,1.5,0.110
k18_all_equal,11,AVX2,LaneAccumulation,U1,NarrowerVector,FullReduction,4096,random,1,1.5,0.007
k18_all_equal,11,AVX2,LaneAccumulation,U1,NarrowerVector,FullReduction,65536,random,1,1.5,0.000
k18_all_equal,11,AVX2,LaneAccumulation,U1,NarrowerVector,FullReduction,64,all_equal,1,1.6,0.615
k18_all_equal,11,AVX2,LaneAccumulation,U1,NarrowerVector,FullReduction,256,all_equal,1,1.8,0.134
k18_all_equal,11,AVX2,LaneAccumulation,U1,NarrowerVector,FullReduction,4096,all_equal,1,27.7,0.133
k18_all_equal,11,AVX2,LaneAccumulation,U1,NarrowerVector,FullReduction,65536,all_equal,1,550.7,0.166
k18_all_equal,12,AVX2,LaneAccumulation,U1,NarrowerVector,EarlyExit,64,random,1,1.5,0.567
k18_all_equal,12,AVX2,LaneAccumulation,U1,NarrowerVector,EarlyExit,256,random,1,1.5,0.111
k18_all_equal,12,AVX2,LaneAccumulation,U1,NarrowerVector,EarlyExit,4096,random,1,1.5,0.007
k18_all_equal,12,AVX2,LaneAccumulation,U1,NarrowerVector,EarlyExit,65536,random,1,1.5,0.000
k18_all_equal,12,AVX2,LaneAccumulation,U1,NarrowerVector,EarlyExit,64,all_equal,1,1.6,0.615
k18_all_equal,12,AVX2,LaneAccumulation,U1,NarrowerVector,EarlyExit,256,all_equal,1,1.8,0.134
k18_all_equal,12,AVX2,LaneAccumulation,U1,NarrowerVector,EarlyExit,4096,all_equal,1,27.6,0.132
k18_all_equal,12,AVX2,LaneAccumulation,U1,NarrowerVector,EarlyExit,65536,all_equal,1,551.1,0.166
k18_all_equal,13,AVX2,LaneAccumulation,U2,Scalar,FullReduction,64,random,1,1.2,0.427
k18_all_equal,13,AVX2,LaneAccumulation,U2,Scalar,FullReduction,256,random,1,1.5,0.110
k18_all_equal,13,AVX2,LaneAccumulation,U2,Scalar,FullReduction,4096,random,1,1.6,0.008
k18_all_equal,13,AVX2,LaneAccumulation,U2,Scalar,FullReduction,65536,random,1,1.5,0.000
k18_all_equal,13,AVX2,LaneAccumulation,U2,Scalar,FullReduction,64,all_equal,1,1.2,0.428
k18_all_equal,13,AVX2,LaneAccumulation,U2,Scalar,FullReduction,256,all_equal,1,1.6,0.123
k18_all_equal,13,AVX2,LaneAccumulation,U2,Scalar,FullReduction,4096,all_equal,1,24.5,0.117
k18_all_equal,13,AVX2,LaneAccumulation,U2,Scalar,FullReduction,65536,all_equal,1,529.6,0.159
k18_all_equal,14,AVX2,LaneAccumulation,U2,Scalar,EarlyExit,64,random,1,1.4,0.555
k18_all_equal,14,AVX2,LaneAccumulation,U2,Scalar,EarlyExit,256,random,1,1.4,0.109
k18_all_equal,14,AVX2,LaneAccumulation,U2,Scalar,EarlyExit,4096,random,1,1.6,0.008
k18_all_equal,14,AVX2,LaneAccumulation,U2,Scalar,EarlyExit,65536,random,1,1.6,0.000
k18_all_equal,14,AVX2,LaneAccumulation,U2,Scalar,EarlyExit,64,all_equal,1,1.4,0.520
k18_all_equal,14,AVX2,LaneAccumulation,U2,Scalar,EarlyExit,256,all_equal,1,1.8,0.133
k18_all_equal,14,AVX2,LaneAccumulation,U2,Scalar,EarlyExit,4096,all_equal,1,27.4,0.130
k18_all_equal,14,AVX2,LaneAccumulation,U2,Scalar,EarlyExit,65536,all_equal,1,534.3,0.160
k18_all_equal,15,AVX2,LaneAccumulation,U2,NarrowerVector,FullReduction,64,random,1,1.2,0.454
k18_all_equal,15,AVX2,LaneAccumulation,U2,NarrowerVector,FullReduction,256,random,1,1.5,0.111
k18_all_equal,15,AVX2,LaneAccumulation,U2,NarrowerVector,FullReduction,4096,random,1,1.6,0.008
k18_all_equal,15,AVX2,LaneAccumulation,U2,NarrowerVector,FullReduction,65536,random,1,1.5,0.000
k18_all_equal,15,AVX2,LaneAccumulation,U2,NarrowerVector,FullReduction,64,all_equal,1,1.2,0.449
k18_all_equal,15,AVX2,LaneAccumulation,U2,NarrowerVector,FullReduction,256,all_equal,1,1.6,0.121
k18_all_equal,15,AVX2,LaneAccumulation,U2,NarrowerVector,FullReduction,4096,all_equal,1,24.8,0.118
k18_all_equal,15,AVX2,LaneAccumulation,U2,NarrowerVector,FullReduction,65536,all_equal,1,534.7,0.160
k18_all_equal,16,AVX2,LaneAccumulation,U2,NarrowerVector,EarlyExit,64,random,1,1.5,0.551
k18_all_equal,16,AVX2,LaneAccumulation,U2,NarrowerVector,EarlyExit,256,random,1,1.5,0.110
k18_all_equal,16,AVX2,LaneAccumulation,U2,NarrowerVector,EarlyExit,4096,random,1,1.5,0.007
k18_all_equal,16,AVX2,LaneAccumulation,U2,NarrowerVector,EarlyExit,65536,random,1,1.5,0.000
k18_all_equal,16,AVX2,LaneAccumulation,U2,NarrowerVector,EarlyExit,64,all_equal,1,1.6,0.616
k18_all_equal,16,AVX2,LaneAccumulation,U2,NarrowerVector,EarlyExit,256,all_equal,1,1.8,0.136
k18_all_equal,16,AVX2,LaneAccumulation,U2,NarrowerVector,EarlyExit,4096,all_equal,1,26.9,0.129
k18_all_equal,16,AVX2,LaneAccumulation,U2,NarrowerVector,EarlyExit,65536,all_equal,1,532.3,0.159
k18_all_equal,17,AVX2,LaneAccumulation,U4,Scalar,FullReduction,64,random,1,1.4,0.531
k18_all_equal,17,AVX2,LaneAccumulation,U4,Scalar,FullReduction,256,random,1,1.5,0.110
k18_all_equal,17,AVX2,LaneAccumulation,U4,Scalar,FullReduction,4096,random,1,1.5,0.007
k18_all_equal,17,AVX2,LaneAccumulation,U4,Scalar,FullReduction,65536,random,1,1.5,0.000
k18_all_equal,17,AVX2,LaneAccumulation,U4,Scalar,FullReduction,64,all_equal,1,7.7,3.015
k18_all_equal,17,AVX2,LaneAccumulation,U4,Scalar,FullReduction,256,all_equal,1,1.6,0.123
k18_all_equal,17,AVX2,LaneAccumulation,U4,Scalar,FullReduction,4096,all_equal,1,26.1,0.125
k18_all_equal,17,AVX2,LaneAccumulation,U4,Scalar,FullReduction,65536,all_equal,1,507.0,0.153
k18_all_equal,18,AVX2,LaneAccumulation,U4,Scalar,EarlyExit,64,random,1,1.5,0.533
k18_all_equal,18,AVX2,LaneAccumulation,U4,Scalar,EarlyExit,256,random,1,1.6,0.118
k18_all_equal,18,AVX2,LaneAccumulation,U4,Scalar,EarlyExit,4096,random,1,1.5,0.007
k18_all_equal,18,AVX2,LaneAccumulation,U4,Scalar,EarlyExit,65536,random,1,1.5,0.000
k18_all_equal,18,AVX2,LaneAccumulation,U4,Scalar,EarlyExit,64,all_equal,1,7.7,3.010
