kernel,distribution,size_bytes,candidate,correct,median_ns,min_ns,mad_ns,ci_lo_ns,ci_hi_ns,cycles_per_elem,speedup_vs_orig
k18_all_equal,all_equal,4096,scalar,1,278.2,277.7,0.5,277.7,280.6,0.22,0.940
k18_all_equal,all_equal,4096,chunked,1,56.2,56.0,0.0,56.0,57.2,0.04,0.190
k18_all_equal,all_equal,4096,sse2,1,36.6,36.3,0.1,36.3,37.5,0.03,0.124
k18_all_equal,all_equal,4096,avx2,1,22.3,22.3,0.0,22.3,22.5,0.02,0.075
k18_all_equal,all_equal,4096,multi,1,22.1,22.0,0.1,22.0,24.4,0.02,0.075
k18_all_equal,all_equal,65536,orig,1,4309.4,4283.5,24.5,4283.5,4524.1,0.21,1.000
k18_all_equal,all_equal,65536,scalar,1,8471.3,8330.7,121.6,8330.7,9274.6,0.41,1.966
k18_all_equal,all_equal,65536,chunked,1,1653.8,1567.2,83.2,1567.2,1781.9,0.08,0.384
k18_all_equal,all_equal,65536,sse2,1,857.5,854.7,1.6,854.7,863.8,0.04,0.199
k18_all_equal,all_equal,65536,avx2,1,581.2,578.4,2.7,578.4,662.1,0.03,0.135
k18_all_equal,all_equal,65536,multi,1,579.8,578.3,0.6,578.3,585.5,0.03,0.135
k18_all_equal,mismatch_first,16,orig,1,2.3,2.2,0.0,2.2,2.3,0.45,1.000
k18_all_equal,mismatch_first,16,scalar,1,4.5,4.5,0.0,4.5,4.6,0.89,1.985
k18_all_equal,mismatch_first,16,chunked,1,3.4,3.4,0.0,3.4,3.6,0.69,1.529
k18_all_equal,mismatch_first,16,sse2,1,1.3,1.3,0.0,1.3,1.4,0.27,0.593
k18_all_equal,mismatch_first,16,avx2,1,1.4,1.4,0.0,1.4,1.4,0.27,0.602
k18_all_equal,mismatch_first,16,multi,1,4.7,4.6,0.0,4.6,4.8,0.93,2.070
k18_all_equal,mismatch_first,17,orig,1,2.2,2.2,0.0,2.2,2.2,0.41,1.000
k18_all_equal,mismatch_first,17,scalar,1,4.6,4.6,0.0,4.6,4.7,0.87,2.140
k18_all_equal,mismatch_first,17,chunked,1,3.4,3.4,0.0,3.4,3.5,0.65,1.588
k18_all_equal,mismatch_first,17,sse2,1,1.6,1.5,0.0,1.5,1.7,0.30,0.744
k18_all_equal,mismatch_first,17,avx2,1,1.4,1.4,0.0,1.4,1.5,0.26,0.627
k18_all_equal,mismatch_first,17,multi,1,4.8,4.8,0.0,4.8,5.0,0.91,2.231
k18_all_equal,mismatch_first,31,orig,1,4.4,4.4,0.0,4.4,4.5,0.45,1.000
k18_all_equal,mismatch_first,31,scalar,1,7.4,7.3,0.1,7.3,7.5,0.77,1.689
k18_all_equal,mismatch_first,31,chunked,1,4.0,4.0,0.0,4.0,4.1,0.41,0.913
k18_all_equal,mismatch_first,31,sse2,1,2.6,2.6,0.0,2.6,2.8,0.27,0.594
k18_all_equal,mismatch_first,31,avx2,1,2.8,2.7,0.0,2.7,2.8,0.28,0.628
k18_all_equal,mismatch_first,31,multi,1,7.6,7.5,0.0,7.5,8.3,0.78,1.730
k18_all_equal,mismatch_first,32,orig,1,2.3,2.3,0.0,2.3,2.4,0.23,1.000
k18_all_equal,mismatch_first,32,scalar,1,7.5,7.5,0.0,7.5,7.7,0.75,3.231
k18_all_equal,mismatch_first,32,chunked,1,4.2,4.1,0.0,4.1,4.3,0.42,1.781
k18_all_equal,mismatch_first,32,sse2,1,1.4,1.4,0.0,1.4,1.5,0.14,0.584
k18_all_equal,mismatch_first,32,avx2,1,1.4,1.4,0.0,1.4,1.4,0.14,0.583
k18_all_equal,mismatch_first,32,multi,1,1.3,1.3,0.0,1.3,1.6,0.13,0.575
k18_all_equal,mismatch_first,33,orig,1,2.4,2.4,0.0,2.4,2.5,0.23,1.000
k18_all_equal,mismatch_first,33,scalar,1,7.8,7.7,0.1,7.7,7.9,0.76,3.250
k18_all_equal,mismatch_first,33,chunked,1,4.3,4.2,0.0,4.2,4.3,0.41,1.780
k18_all_equal,mismatch_first,33,sse2,1,1.4,1.4,0.0,1.4,1.5,0.13,0.573
k18_all_equal,mismatch_first,33,avx2,1,1.4,1.4,0.0,1.4,1.5,0.13,0.572
k18_all_equal,mismatch_first,33,multi,1,1.6,1.6,0.0,1.6,1.7,0.16,0.681
k18_all_equal,mismatch_first,63,orig,1,5.8,5.7,0.1,5.7,6.7,0.30,1.000
k18_all_equal,mismatch_first,63,scalar,1,18.0,17.8,0.0,17.8,18.1,0.91,3.081
k18_all_equal,mismatch_first,63,chunked,1,4.8,4.8,0.0,4.8,4.9,0.25,0.832
k18_all_equal,mismatch_first,63,sse2,1,3.0,3.0,0.0,3.0,3.3,0.15,0.522
k18_all_equal,mismatch_first,63,avx2,1,3.0,3.0,0.0,3.0,3.2,0.15,0.523
k18_all_equal,mismatch_first,63,multi,1,3.3,3.2,0.0,3.2,3.4,0.17,0.558
k18_all_equal,mismatch_first,64,orig,1,4.4,4.4,0.0,4.4,4.5,0.22,1.000
k18_all_equal,mismatch_first,64,scalar,1,17.5,17.4,0.0,17.4,17.7,0.88,3.959
k18_all_equal,mismatch_first,64,chunked,1,5.0,5.0,0.0,5.0,5.2,0.25,1.125
