kernel,distribution,size_bytes,candidate,correct,median_ns,min_ns,mad_ns,ci_lo_ns,ci_hi_ns,cycles_per_elem,speedup_vs_orig
k18_all_equal,mismatch_last,16,multi,1,4.1,4.1,0.0,4.1,4.2,0.82,2.758
k18_all_equal,mismatch_last,256,orig,1,13.2,13.2,0.0,13.2,13.7,0.16,1.000
k18_all_equal,mismatch_last,256,scalar,1,54.4,54.1,0.2,54.1,55.2,0.68,4.125
k18_all_equal,mismatch_last,256,chunked,1,9.6,9.4,0.2,9.4,10.1,0.12,0.727
k18_all_equal,mismatch_last,256,sse2,1,4.4,4.4,0.0,4.4,4.6,0.06,0.337
k18_all_equal,mismatch_last,256,avx2,1,3.1,3.1,0.0,3.1,3.2,0.04,0.238
k18_all_equal,mismatch_last,256,multi,1,3.3,3.3,0.0,3.3,3.4,0.04,0.253
k18_all_equal,mismatch_last,4096,orig,1,209.4,208.8,0.5,208.8,213.6,0.16,1.000
k18_all_equal,mismatch_last,4096,scalar,1,405.9,404.8,0.6,404.8,408.8,0.32,1.938
k18_all_equal,mismatch_last,4096,chunked,1,74.8,74.2,0.5,74.2,78.5,0.06,0.357
k18_all_equal,mismatch_last,4096,sse2,1,33.9,33.8,0.1,33.8,34.4,0.03,0.162
k18_all_equal,mismatch_last,4096,avx2,1,21.9,21.8,0.1,21.8,41.0,0.02,0.104
k18_all_equal,mismatch_last,4096,multi,1,23.8,23.7,0.0,23.7,24.1,0.02,0.114
k18_all_equal,mismatch_last,65536,orig,1,3337.5,3326.4,7.0,3326.4,3353.2,0.16,1.000
k18_all_equal,mismatch_last,65536,scalar,1,12392.7,12357.4,22.5,12357.4,12440.9,0.61,3.713
k18_all_equal,mismatch_last,65536,chunked,1,2107.5,2097.6,4.1,2097.6,2117.9,0.10,0.631
k18_all_equal,mismatch_last,65536,sse2,1,837.1,834.0,2.3,834.0,846.8,0.04,0.251
k18_all_equal,mismatch_last,65536,avx2,1,600.4,599.1,0.9,599.1,615.3,0.03,0.180
k18_all_equal,mismatch_last,65536,multi,1,600.7,599.7,0.9,599.7,607.0,0.03,0.180
k18_all_equal,mismatch_mid,16,orig,1,1.5,1.5,0.0,1.5,1.5,0.30,1.000
k18_all_equal,mismatch_mid,16,scalar,1,4.1,4.1,0.0,4.1,4.2,0.81,2.748
k18_all_equal,mismatch_mid,16,chunked,1,3.6,3.4,0.1,3.4,4.0,0.72,2.444
k18_all_equal,mismatch_mid,16,sse2,1,1.3,1.3,0.0,1.3,1.5,0.26,0.893
k18_all_equal,mismatch_mid,16,avx2,1,1.4,1.4,0.0,1.4,1.4,0.27,0.919
k18_all_equal,mismatch_mid,16,multi,1,4.1,4.1,0.0,4.1,4.5,0.82,2.756
k18_all_equal,mismatch_mid,256,orig,1,13.2,13.1,0.0,13.1,13.4,0.16,1.000
k18_all_equal,mismatch_mid,256,scalar,1,55.0,54.4,0.2,54.4,55.2,0.69,4.180
k18_all_equal,mismatch_mid,256,chunked,1,9.6,9.4,0.1,9.4,9.8,0.12,0.727
k18_all_equal,mismatch_mid,256,sse2,1,4.4,4.4,0.0,4.4,4.5,0.06,0.336
k18_all_equal,mismatch_mid,256,avx2,1,3.2,3.1,0.0,3.1,3.4,0.04,0.241
k18_all_equal,mismatch_mid,256,multi,1,3.4,3.3,0.1,3.3,3.9,0.04,0.258
k18_all_equal,mismatch_mid,4096,orig,1,209.9,209.0,0.5,209.0,211.9,0.16,1.000
k18_all_equal,mismatch_mid,4096,scalar,1,504.7,503.1,1.2,503.1,522.6,0.39,2.404
k18_all_equal,mismatch_mid,4096,chunked,1,91.0,90.5,0.3,90.5,91.9,0.07,0.434
k18_all_equal,mismatch_mid,4096,sse2,1,39.6,39.5,0.1,39.5,40.1,0.03,0.189
k18_all_equal,mismatch_mid,4096,avx2,1,24.2,23.8,0.1,23.8,24.6,0.02,0.115
k18_all_equal,mismatch_mid,4096,multi,1,25.8,25.7,0.0,25.7,26.2,0.02,0.123
k18_all_equal,mismatch_mid,65536,orig,1,3335.3,3327.5,5.5,3327.5,3353.9,0.16,1.000
k18_all_equal,mismatch_mid,65536,scalar,1,5997.3,5982.6,7.3,5982.6,6032.7,0.29,1.798
k18_all_equal,mismatch_mid,65536,chunked,1,1010.1,1004.0,2.3,1004.0,1022.4,0.05,0.303
